dialect,op_name,td_symbol,template,source_file,family,status,arguments,argument_type_hints,results,result_type_hints,param_type_lists
ascendc,ascendc.abs_l0,AbsL0Op,UnaryL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecUnary.td,elewise,expanded-defm,dst:AnyType; src:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.abs_l1,AbsL1Op,UnaryL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecUnary.td,elewise,expanded-defm,dst:AnyType; src:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.abs_l2,AbsL2Op,UnaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecUnary.td,elewise,expanded-defm,dst:AnyType; src:AnyType; calCount:AnyType,dst:AnyType; src:AnyType; calCount:AnyType,,,
ascendc,ascendc.acos,AcosOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.acosh,AcoshOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.add_deq_relu_l0,AddDeqReluL0Op,BinaryCastL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_deq_relu_l1,AddDeqReluL1Op,BinaryCastL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_deq_relu_l2,AddDeqReluL2Op,BinaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,,,
ascendc,ascendc.add_l0,AddL0Op,BinaryTemplateL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_l1,AddL1Op,BinaryTemplateL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_l2,AddL2Op,BinaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,,,
ascendc,ascendc.add_l3,AddL3Op,BinaryL3Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType,dst:AnyType; src0:AnyType; src1:AnyType,,,
ascendc,ascendc.add_relu_cast_l0,AddReluCastL0Op,BinaryCastL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecVconv.td,other,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_relu_cast_l1,AddReluCastL1Op,BinaryCastL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecVconv.td,other,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_relu_cast_l2,AddReluCastL2Op,BinaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecVconv.td,other,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,,,
ascendc,ascendc.add_relu_l0,AddReluL0Op,BinaryTemplateL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_relu_l1,AddReluL1Op,BinaryTemplateL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.add_relu_l2,AddReluL2Op,BinaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,,,
ascendc,ascendc.adds_l0,AddsL0Op,VecScalarL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.adds_l1,AddsL1Op,VecScalarL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_UnaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.adds_l2,AddsL2Op,VecScalarL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinaryScalar.td,elewise,expanded-defm,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,dst:AnyType; src:AnyType; scalar:AnyType; calCount:AnyType; isSetMask:UnitAttr,,,
ascendc,ascendc.and_l0,AndL0Op,BinaryTemplateL0Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:AnyType; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.and_l1,AndL1Op,BinaryTemplateL1Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; mask:Variadic<UI64>; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,dst:AnyType; src0:AnyType; src1:AnyType; mask:UI64/Variadic; repeatTimes:AnyType; repeatParams:AscendC_BinaryRepeatParams; isSetMask:UnitAttr,,,
ascendc,ascendc.and_l2,AndL2Op,BinaryL2Op,include/ascir/Dialect/Asc/IR/Basic/OpVecBinary.td,elewise,expanded-defm,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,dst:AnyType; src0:AnyType; src1:AnyType; calCount:AnyType,,,
ascendc,ascendc.ascend_is_aic,AscendC_AscendIsAICOp,APIOp,include/ascir/Dialect/Asc/IR/Ops.td,other,explicit-def,,,result:AnyType,result:AnyType,
ascendc,ascendc.ascend_is_aiv,AscendC_AscendIsAIVOp,APIOp,include/ascir/Dialect/Asc/IR/Ops.td,other,explicit-def,,,result:AnyType,result:AnyType,
ascendc,ascendc.asin,AsinOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.asinh,AsinhOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.atan,AtanOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
ascendc,ascendc.atanh,AtanhOp,UnaryMathOp,include/ascir/Dialect/Asc/IR/Adv/Math.td,other,inherited-class,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:Optional<AnyType>; calCount:Optional<AnyType>; isReuseSource:AnyType,dst:AscendC_LocalTensor; src:AnyType; sharedTmpBuffer:AnyType/Optional; calCount:AnyType/Optional; isReuseSource:AnyType,,,
